what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1330047689500
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1330047689500
started,bundle,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms",1330047689500
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.3.v20111014-0100,"org.eclipse.mylyn.bugzilla.core",1330047689500
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1330047689546
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1330047689562
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1330047689562
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1330047689593
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1330047689593
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1330047689625
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1330047689656
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.3.v20111026-0100,"org.eclipse.mylyn.tasks.ui",1330047689703
os,sysinfo,,,"win32",1330047689703
arch,sysinfo,,,"x86",1330047689703
ws,sysinfo,,,"win32",1330047689703
locale,sysinfo,,,"en_US",1330047689703
processors,sysinfo,,,"2",1330047689703
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1330047689703
java.runtime.version,sysinfo,,,"1.6.0_30-b12",1330047689703
java.specification.name,sysinfo,,,"Java Platform API Specification",1330047689703
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330047689703
java.specification.version,sysinfo,,,"1.6",1330047689703
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1330047689703
java.version,sysinfo,,,"1.6.0_30",1330047689703
java.vm.info,sysinfo,,,"mixed mode",1330047689703
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1330047689703
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1330047689703
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330047689703
java.vm.specification.version,sysinfo,,,"1.0",1330047689703
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1330047689703
java.vm.version,sysinfo,,,"20.5-b03",1330047689703
started,bundle,net.rim.ejde.designer,1.0.0.r35x201008041452,"net.rim.ejde.designer",1330047690593
started,bundle,com.instantiations.common.core,5.6.0.r35x201007231308,"com.instantiations.common.core",1330047690718
started,bundle,com.instantiations.eclipse.debug,5.6.0.r35x201007231308,"com.instantiations.eclipse.debug",1330047691140
started,bundle,com.instantiations.eclipse.startup,5.6.0.r35x201007231308,"com.instantiations.eclipse.startup",1330047691156
started,bundle,com.instantiations.eclipse.util,5.6.0.r35x201007231308,"com.instantiations.eclipse.util",1330047691187
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330047713656
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330047728718
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330047729218
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1330047730750
stopped,bundle,com.instantiations.designer.core.databinding,7.6.0.r35x201008040432,"com.instantiations.designer.core.databinding",1330047730765
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,15.0.0.v201110251216-213216,"overlay.com.android.ide.eclipse.adt.overlay",1330047730828
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1330047735750
